epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.6541,0.01438,4.73577,1.33684,0.00469,0.34692,0.00721,0.00633,0.00955,3.84634,1.12202,0.00199688,0.00199688,0.00199688
2,72.5691,0.01332,4.42986,1.26818,0.29805,0.05856,0.02316,0.01932,0.01078,3.44033,1.18092,0.00400144,0.00400144,0.00400144
3,103.127,0.01425,3.9392,1.28922,0.13452,0.23841,0.08345,0.06682,0.01256,3.21968,1.27228,0.00599806,0.00599806,0.00599806
4,133.415,0.01438,3.43763,1.27176,0.20055,0.28136,0.09323,0.06877,0.01515,3.4009,1.37356,0.00798673,0.00798673,0.00798673
5,167.744,0.01451,3.14709,1.26122,0.17819,0.36553,0.18517,0.14607,0.0128,2.62028,1.29083,0.00992102,0.00992102,0.00992102
6,200.329,0.01458,2.90957,1.2594,0.23545,0.408,0.27461,0.21248,0.01253,2.21936,1.25264,0.00990127,0.00990127,0.00990127
7,230.178,0.01427,2.70912,1.24274,0.33268,0.38554,0.32153,0.25895,0.0116,2.07018,1.19993,0.00988152,0.00988152,0.00988152
8,260.055,0.01389,2.54626,1.22559,0.38283,0.45002,0.3898,0.31729,0.01139,1.9041,1.19074,0.00986178,0.00986178,0.00986178
9,290.231,0.01371,2.41193,1.21548,0.34953,0.50028,0.42058,0.33996,0.01096,1.82436,1.17052,0.00984203,0.00984203,0.00984203
10,328.373,0.01363,2.28104,1.21034,0.43197,0.51108,0.47567,0.3921,0.01076,1.69675,1.15406,0.00982228,0.00982228,0.00982228
11,360.461,0.01349,2.19468,1.20351,0.41945,0.47129,0.47053,0.38943,0.01043,1.70325,1.1416,0.00980254,0.00980254,0.00980254
12,390.236,0.01326,2.10529,1.19345,0.43556,0.52225,0.5054,0.41629,0.01056,1.62877,1.14232,0.00978279,0.00978279,0.00978279
13,420.337,0.01321,2.02939,1.1921,0.49588,0.5371,0.54299,0.44701,0.01125,1.53236,1.1477,0.00976305,0.00976305,0.00976305
14,450.272,0.01313,1.94688,1.18899,0.47512,0.55727,0.53633,0.44644,0.0103,1.54898,1.12236,0.0097433,0.0097433,0.0097433
15,480.035,0.01307,1.8793,1.1848,0.52888,0.54572,0.56704,0.4765,0.00993,1.51236,1.10732,0.00972355,0.00972355,0.00972355
16,510.003,0.01287,1.80636,1.17499,0.55707,0.55089,0.58189,0.48606,0.0102,1.45748,1.12686,0.00970381,0.00970381,0.00970381
17,547.346,0.01293,1.7472,1.17195,0.55848,0.60643,0.61846,0.51817,0.01002,1.35153,1.12003,0.00968406,0.00968406,0.00968406
18,577.968,0.01275,1.70764,1.16903,0.59448,0.65634,0.67728,0.57301,0.00976,1.17565,1.10047,0.00966431,0.00966431,0.00966431
19,607.719,0.01278,1.64278,1.16676,0.64797,0.61406,0.6784,0.57609,0.00985,1.16361,1.09486,0.00964457,0.00964457,0.00964457
20,637.675,0.01268,1.59831,1.16463,0.62374,0.61604,0.66576,0.56866,0.00941,1.17506,1.08571,0.00962482,0.00962482,0.00962482
21,667.445,0.01259,1.56195,1.16058,0.6269,0.63863,0.69041,0.58454,0.00967,1.13853,1.09809,0.00960508,0.00960508,0.00960508
22,697.226,0.01248,1.51648,1.15878,0.63686,0.62783,0.68394,0.58392,0.00952,1.14987,1.08513,0.00958533,0.00958533,0.00958533
23,735.052,0.01247,1.47728,1.15467,0.69132,0.64193,0.71813,0.61428,0.00944,1.07207,1.07477,0.00956558,0.00956558,0.00956558
24,766.333,0.01244,1.4311,1.15091,0.6557,0.68078,0.73555,0.62579,0.00941,1.02632,1.0862,0.00954584,0.00954584,0.00954584
25,796.001,0.01244,1.40353,1.15131,0.6805,0.67034,0.73519,0.63173,0.00914,1.02321,1.06586,0.00952609,0.00952609,0.00952609
26,825.697,0.01236,1.38446,1.1496,0.68774,0.64559,0.72664,0.62449,0.00926,1.04698,1.07676,0.00950634,0.00950634,0.00950634
27,855.537,0.01233,1.35805,1.14279,0.69326,0.68433,0.7498,0.64294,0.00915,0.96128,1.07525,0.0094866,0.0094866,0.0094866
28,885.212,0.01218,1.3042,1.14217,0.71186,0.68717,0.75358,0.65136,0.00903,0.94732,1.06579,0.00946685,0.00946685,0.00946685
29,920.398,0.01221,1.29242,1.1446,0.70318,0.70414,0.76779,0.65637,0.00912,0.92404,1.06903,0.00944711,0.00944711,0.00944711
30,953.965,0.01216,1.25968,1.14416,0.7146,0.73834,0.78385,0.67829,0.00914,0.87642,1.0657,0.00942736,0.00942736,0.00942736
31,983.903,0.012,1.22836,1.13171,0.74692,0.69446,0.76821,0.66596,0.00905,0.91812,1.0622,0.00940761,0.00940761,0.00940761
32,1013.87,0.01206,1.22348,1.13519,0.71625,0.71285,0.77507,0.6703,0.00897,0.90273,1.05977,0.00938787,0.00938787,0.00938787
33,1043.49,0.01208,1.20611,1.1388,0.73507,0.70779,0.77605,0.67323,0.00893,0.88945,1.05799,0.00936812,0.00936812,0.00936812
34,1073.14,0.01202,1.17195,1.12934,0.71836,0.71839,0.77843,0.6753,0.00897,0.90226,1.04995,0.00934838,0.00934838,0.00934838
35,1102.9,0.01203,1.15897,1.13293,0.74489,0.68898,0.774,0.67104,0.00889,0.90508,1.05949,0.00932863,0.00932863,0.00932863
36,1140.75,0.01208,1.1322,1.13672,0.7192,0.71812,0.78119,0.67791,0.00875,0.87504,1.05267,0.00930888,0.00930888,0.00930888
37,1171.83,0.01196,1.11531,1.13289,0.72909,0.7161,0.7833,0.67856,0.00887,0.86162,1.05344,0.00928914,0.00928914,0.00928914
38,1201.84,0.01183,1.10368,1.12696,0.78333,0.70849,0.79511,0.69151,0.00875,0.82253,1.05524,0.00926939,0.00926939,0.00926939
39,1231.78,0.01165,1.06691,1.12277,0.74306,0.73091,0.79157,0.68864,0.00869,0.83604,1.04655,0.00924964,0.00924964,0.00924964
40,1261.69,0.01189,1.07567,1.12763,0.76265,0.72191,0.80369,0.70006,0.00866,0.81439,1.04238,0.0092299,0.0092299,0.0092299
41,1291.73,0.01179,1.05307,1.12623,0.75499,0.73708,0.80597,0.70442,0.00858,0.78063,1.04457,0.00921015,0.00921015,0.00921015
42,1321.54,0.01182,1.05165,1.12423,0.7365,0.73181,0.79062,0.68945,0.00862,0.82692,1.04679,0.00919041,0.00919041,0.00919041
43,1353.72,0.01164,1.03059,1.11858,0.77414,0.74756,0.81399,0.71177,0.0085,0.77965,1.03525,0.00917066,0.00917066,0.00917066
44,1390.14,0.01157,1.02101,1.11639,0.74622,0.75905,0.81355,0.71121,0.0085,0.76798,1.03939,0.00915091,0.00915091,0.00915091
45,1419.99,0.0116,1.00036,1.1179,0.77683,0.76015,0.82008,0.71711,0.00851,0.7557,1.03876,0.00913117,0.00913117,0.00913117
46,1449.64,0.01166,0.99563,1.12072,0.78215,0.74742,0.81579,0.716,0.00868,0.77065,1.0412,0.00911142,0.00911142,0.00911142
47,1479.57,0.01159,0.98381,1.11567,0.74109,0.75873,0.81398,0.71112,0.00853,0.77344,1.04203,0.00909167,0.00909167,0.00909167
48,1509.69,0.01157,0.97879,1.11606,0.78753,0.74977,0.81713,0.71282,0.00853,0.76076,1.04362,0.00907193,0.00907193,0.00907193
49,1544.3,0.01157,0.97403,1.11986,0.81083,0.7181,0.81362,0.71425,0.0085,0.76393,1.03367,0.00905218,0.00905218,0.00905218
50,1579.02,0.0115,0.95939,1.11157,0.78717,0.75364,0.82416,0.72617,0.00837,0.74199,1.03199,0.00903244,0.00903244,0.00903244
51,1608.66,0.01148,0.95577,1.11063,0.77284,0.74911,0.8115,0.713,0.00845,0.77555,1.03995,0.00901269,0.00901269,0.00901269
52,1638.64,0.01149,0.95022,1.11133,0.79157,0.75635,0.82386,0.72368,0.00846,0.73273,1.03952,0.00899294,0.00899294,0.00899294
53,1668.49,0.01142,0.93234,1.10955,0.79855,0.75717,0.81943,0.72113,0.0084,0.72271,1.03086,0.0089732,0.0089732,0.0089732
54,1698.62,0.01146,0.92835,1.109,0.80068,0.75258,0.82999,0.73263,0.00836,0.72516,1.03183,0.00895345,0.00895345,0.00895345
55,1728.61,0.01133,0.91807,1.10994,0.78691,0.76479,0.82615,0.73038,0.00828,0.72724,1.02922,0.00893371,0.00893371,0.00893371
56,1767.45,0.0115,0.91707,1.11123,0.78551,0.75556,0.82881,0.73238,0.00832,0.73222,1.03078,0.00891396,0.00891396,0.00891396
57,1798.25,0.01137,0.90644,1.10655,0.78475,0.75557,0.82381,0.72849,0.00818,0.72566,1.0256,0.00889421,0.00889421,0.00889421
58,1828.01,0.01134,0.89593,1.10579,0.79396,0.77273,0.83204,0.73288,0.00829,0.71458,1.03364,0.00887447,0.00887447,0.00887447
59,1858.02,0.01141,0.8989,1.1094,0.79785,0.78186,0.83454,0.73554,0.00824,0.69625,1.02996,0.00885472,0.00885472,0.00885472
60,1887.99,0.01133,0.88208,1.10741,0.81577,0.75919,0.83309,0.73565,0.00822,0.71465,1.02791,0.00883497,0.00883497,0.00883497
61,1925.2,0.01121,0.88745,1.10269,0.79654,0.7715,0.82985,0.73862,0.00802,0.71219,1.01882,0.00881523,0.00881523,0.00881523
62,1958.08,0.01112,0.87089,1.10035,0.7966,0.77751,0.83781,0.74298,0.00814,0.69598,1.0258,0.00879548,0.00879548,0.00879548
63,1987.99,0.01118,0.86502,1.10333,0.81396,0.7711,0.83628,0.73954,0.00812,0.70517,1.02393,0.00877574,0.00877574,0.00877574
64,2017.98,0.01116,0.85513,1.09931,0.78466,0.78712,0.83682,0.74312,0.00802,0.69177,1.01638,0.00875599,0.00875599,0.00875599
65,2048.03,0.01111,0.84757,1.09814,0.799,0.78014,0.83765,0.74541,0.00806,0.69336,1.02024,0.00873624,0.00873624,0.00873624
66,2079.75,0.01113,0.84924,1.09833,0.8139,0.75857,0.83404,0.74058,0.0081,0.7063,1.02156,0.0087165,0.0087165,0.0087165
67,2116.98,0.01118,0.85691,1.10331,0.81431,0.77641,0.84289,0.74833,0.00813,0.68163,1.02583,0.00869675,0.00869675,0.00869675
68,2147.04,0.01107,0.84207,1.0965,0.8075,0.78087,0.83942,0.7457,0.00805,0.68586,1.02224,0.008677,0.008677,0.008677
69,2176.86,0.01111,0.82774,1.0978,0.79597,0.77884,0.83751,0.74371,0.00803,0.69624,1.02286,0.00865726,0.00865726,0.00865726
70,2206.74,0.01116,0.83117,1.10007,0.80139,0.77795,0.84047,0.74702,0.00805,0.68462,1.02166,0.00863751,0.00863751,0.00863751
71,2236.75,0.01104,0.82662,1.09839,0.80285,0.77513,0.84168,0.74721,0.00802,0.68635,1.0209,0.00861777,0.00861777,0.00861777
72,2266.75,0.01111,0.82468,1.09757,0.78544,0.79947,0.84416,0.74877,0.00806,0.68246,1.02189,0.00859802,0.00859802,0.00859802
73,2301.45,0.01106,0.82596,1.09598,0.80114,0.78064,0.84441,0.74818,0.00799,0.68243,1.01699,0.00857827,0.00857827,0.00857827
74,2336.92,0.01087,0.80429,1.0901,0.81207,0.77208,0.8422,0.74493,0.00808,0.68964,1.02131,0.00855853,0.00855853,0.00855853
