epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.0015,0.86408,5.20299,1.30698,0.00401,0.51699,0.00758,0.00605,0.78717,4.19779,1.35276,0.00331081,0.00331081,0.00331081
2,75.174,0.90626,4.77221,1.32703,0.13265,0.12376,0.01733,0.01254,0.9869,4.29573,1.50412,0.00662222,0.00662222,0.00662222
3,111.714,1.02279,4.28095,1.36101,0.06214,0.12827,0.01775,0.00947,1.85866,6.5863,2.53802,0.00991163,0.00991163,0.00991163
4,147.405,1.08415,3.96687,1.38071,0.13768,0.20254,0.05619,0.03835,1.08873,3.6566,1.61522,0.009901,0.009901,0.009901
5,182.826,1.03197,3.62129,1.33959,0.22809,0.21022,0.08098,0.05751,0.98245,3.52122,1.47572,0.009868,0.009868,0.009868
6,218.12,0.98756,3.34784,1.30145,0.1988,0.28937,0.13214,0.09661,0.91284,3.02672,1.38891,0.009835,0.009835,0.009835
7,252.853,0.95499,3.1143,1.28322,0.20726,0.32796,0.17169,0.12845,0.91738,2.91129,1.37629,0.009802,0.009802,0.009802
8,287.582,0.93053,2.90981,1.26695,0.21189,0.3758,0.25265,0.19569,0.78983,2.36646,1.28538,0.009769,0.009769,0.009769
9,322.162,0.92635,2.7283,1.25822,0.25127,0.39711,0.29056,0.22498,0.85027,2.34068,1.32676,0.009736,0.009736,0.009736
10,356.833,0.9003,2.56548,1.24434,0.29918,0.43617,0.33532,0.26143,0.79496,2.20364,1.2749,0.009703,0.009703,0.009703
11,391.263,0.8911,2.43014,1.23798,0.27036,0.39536,0.29993,0.22187,0.92049,2.42553,1.3978,0.00967,0.00967,0.00967
12,425.887,0.87587,2.33716,1.23047,0.30894,0.44714,0.35685,0.28526,0.7361,2.22878,1.22319,0.009637,0.009637,0.009637
13,460.317,0.86812,2.2525,1.22059,0.34038,0.45034,0.38756,0.31464,0.73102,2.10939,1.22283,0.009604,0.009604,0.009604
14,494.745,0.86653,2.18572,1.22687,0.417,0.51711,0.49228,0.40157,0.70499,1.75721,1.19455,0.009571,0.009571,0.009571
15,529.33,0.84775,2.10352,1.2087,0.40302,0.50408,0.47284,0.37888,0.70017,1.81811,1.19286,0.009538,0.009538,0.009538
16,563.75,0.83399,2.0614,1.19884,0.46696,0.54339,0.52795,0.43186,0.67239,1.69357,1.17406,0.009505,0.009505,0.009505
