epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.7969,3.04225,6.37693,4.19489,0,0,0,0,2.78726,5.25499,4.16305,0.00331081,0.00331081,0.00331081
2,86.1312,2.60587,6.18974,3.43502,0.00064,0.15512,0.00083,0.00026,2.38367,inf,3.44195,0.00662222,0.00662222,0.00662222
3,126.339,1.78308,5.45052,2.4713,0.00156,0.33997,0.00297,0.00136,1.80828,6.84798,2.72552,0.00991163,0.00991163,0.00991163
4,162.22,1.44392,4.94623,2.0129,0.12191,0.12076,0.01072,0.00653,1.39027,4.0065,2.08591,0.009901,0.009901,0.009901
5,197.762,1.312,4.54062,1.82674,0.44167,0.05125,0.01858,0.01129,1.28957,3.70277,1.90745,0.009868,0.009868,0.009868
6,233.158,1.24004,4.19606,1.72588,0.32002,0.08656,0.02039,0.01329,1.11607,3.65312,1.67382,0.009835,0.009835,0.009835
7,267.977,1.19206,3.95136,1.66022,0.11732,0.18075,0.02876,0.01932,1.06063,3.44095,1.56834,0.009802,0.009802,0.009802
8,303.128,1.14216,3.76275,1.60781,0.53263,0.0776,0.04293,0.03174,0.94217,3.22093,1.45159,0.009769,0.009769,0.009769
9,338.023,1.12522,3.61883,1.58041,0.43478,0.10345,0.05106,0.03818,0.93864,3.13327,1.45404,0.009736,0.009736,0.009736
10,372.779,1.0949,3.50137,1.54711,0.46391,0.16246,0.06543,0.04793,0.92443,3.05422,1.41682,0.009703,0.009703,0.009703
11,407.853,1.07112,3.41407,1.52086,0.43633,0.15746,0.07228,0.05468,0.9125,2.97168,1.38417,0.00967,0.00967,0.00967
12,442.427,1.04842,3.32228,1.49529,0.40966,0.14762,0.06302,0.04715,0.91954,3.25591,1.38916,0.009637,0.009637,0.009637
13,477.258,1.03701,3.26319,1.47457,0.31447,0.22217,0.10032,0.07913,0.83457,2.83427,1.31925,0.009604,0.009604,0.009604
14,512.344,1.03052,3.18946,1.46043,0.35219,0.21642,0.11644,0.09035,0.80384,2.68895,1.28231,0.009571,0.009571,0.009571
15,547.633,1.00553,3.10553,1.42505,0.22428,0.26609,0.13948,0.10954,0.79712,2.59638,1.28915,0.009538,0.009538,0.009538
16,582.389,0.9944,3.04071,1.40167,0.24443,0.26201,0.15009,0.11768,0.79471,2.56493,1.26307,0.009505,0.009505,0.009505
17,617.138,0.98315,2.98033,1.38797,0.20259,0.3247,0.17743,0.14078,0.78615,2.44809,1.2603,0.009472,0.009472,0.009472
